A,B,C,D,E,F,G,H,I,J,K
81,95,100,0,100,0,100,0,1,0,0
77,85,100,0,100,0,91,19995,1,0,0
83,92,100,0,100,0,100,0,1,0,0
77,85,100,0,100,0,92,16914,1,0,0
81,84,100,0,100,0,100,0,1,0,0
67,96,100,0,100,0,100,0,1,0,0
82,92,100,0,100,0,100,0,1,0,0
82,94,100,0,100,0,97,7159,1,0,0
77,96,100,0,100,0,93,15850,1,0,0
84,84,100,0,100,0,97,6894,1,0,0
84,98,100,0,100,0,99,3631,1,0,0
79,86,100,0,100,0,93,14773,1,0,0
70,95,100,0,100,0,81,38210,1,0,0
82,94,100,0,100,0,47,107928,1,0,0
77,93,100,0,100,0,91,19122,1,0,0
80,91,100,0,100,0,100,0,1,0,0
81,94,100,0,100,0,96,8608,1,0,0
81,84,100,0,100,0,92,16457,1,0,0
82,86,100,0,100,0,96,8689,1,0,0
83,90,100,0,100,0,94,13040,1,0,0
83,84,100,0,100,0,95,11790,1,0,0
84,90,100,0,100,0,94,13237,1,0,0
82,94,100,0,100,0,97,7487,1,0,0
79,100,100,0,100,0,91,18363,1,0,0
80,93,100,0,100,0,74,52529,1,0,0
80,97,100,0,100,0,72,56633,1,0,0
83,84,100,0,100,0,89,22683,1,0,0
80,90,100,0,100,0,100,0,1,0,0
80,85,100,0,100,0,1,442355,1,0,0
81,92,100,0,100,0,97,7957,1,0,0
83,96,100,0,100,0,97,7135,1,0,0
82,92,100,0,100,0,86,29860,1,0,0
80,93,100,0,100,0,86,29431,1,0,0
80,91,100,0,100,0,89,22148,2,0,0
82,91,100,0,100,0,86,28175,1,0,0
81,97,100,0,100,0,95,10957,1,0,0
82,94,100,0,100,0,94,13622,1,0,0
69,91,100,0,100,0,95,10983,1,0,0
81,99,100,0,100,0,83,35588,1,0,0
76,95,100,0,100,0,93,15359,1,0,0
76,94,100,0,100,0,97,6256,1,0,0
83,85,100,0,100,0,97,6348,1,0,0
79,94,100,0,100,0,78,45806,1,0,0
75,94,100,0,100,0,97,7813,1,0,0
83,95,100,0,100,0,96,9640,1,0,0
78,90,100,0,100,0,88,25797,1,0,0
84,85,100,0,100,0,88,24562,1,0,0
77,92,100,0,100,0,96,8823,1,0,0
72,88,100,0,100,0,92,17066,1,0,0
75,90,100,0,100,0,97,7427,1,0,0
83,93,100,0,100,0,89,23205,1,0,0
83,93,100,0,100,0,95,11073,1,0,0
74,95,100,0,100,0,96,9480,1,0,0
82,92,100,0,100,0,93,14803,1,0,0
82,88,100,0,100,0,92,16367,1,0,0
81,94,100,0,100,0,100,0,1,0,0
81,96,100,0,100,0,94,13036,1,0,0
82,90,100,0,100,0,94,12928,1,0,0
77,95,100,0,100,0,100,0,1,0,0
81,91,100,0,100,0,94,13640,1,0,0
76,86,100,0,100,0,92,16020,1,0,0
82,87,100,0,100,0,83,35117,1,0,0
83,94,100,0,100,0,96,9668,1,0,0
81,84,100,0,100,0,96,8336,1,0,0
78,89,100,0,100,0,97,6631,1,0,0
81,88,100,0,100,0,96,8500,1,0,0
83,93,100,0,100,0,93,15590,1,0,0
82,92,100,0,100,0,80,40641,1,0,0
81,86,100,0,100,0,96,9734,1,0,0
79,84,100,0,100,0,97,7759,1,0,0
82,86,100,0,100,0,96,8697,1,0,0
84,94,100,0,100,0,96,8337,1,0,0
84,98,100,0,100,0,96,8875,1,0,0
82,98,100,0,100,0,97,7528,1,0,0
79,88,100,0,100,0,94,12521,1,0,0
81,84,100,0,100,0,65,71272,1,0,0
82,88,100,0,100,0,95,10597,1,0,0
83,90,100,0,100,0,91,19014,1,0,0
82,90,100,0,100,0,82,36099,1,0,0
81,84,100,0,100,0,83,34382,1,0,0
